time,Ia,Ib,Ic,Vab,Torque,Speed,Category
0.5,32.40018436,7.983663736,24.4633963,427.7627653,49.79775226,138.5785223,PTPF
-1.26E-15,2.719290311,-4.895009767,1.614429387,-2.397359447,0.565812268,0.28262063,PTGF
0.2,10.61419682,10.61458872,10.61717861,474.9990708,15.11471142,148.9402178,NOM
0.2,13.53088521,13.52967715,13.53020374,474.9940086,22.00694788,145.9960006,NOM
0.5,13.30431312,13.30501693,13.30891424,474.5657369,34.98618175,146.3332113,NOM
0.5,26.24359727,26.24369549,26.24365745,474.9744059,57.56976321,131.67291,OLF
-1.26E-15,1.402108811,2.361908621,0.705368869,-2.040063469,-0.072234082,0.222131471,OVF
0.007525,5.99E-08,5.61E-08,4.44E-08,2.62E-13,12.11092488,0.001385074,OLF
-1.26E-15,-3.358761403,-2.664095519,-3.997859387,3.149987149,-0.058501798,-0.0151355,OLF
0.075124792,0.000426176,0.000373522,0.000443612,9.29E-07,2.980359534,0.038609746,NOM
0.5,13.05193706,13.05268289,13.05702455,474.9948518,34.47625099,146.6028443,NOM
0.086746758,0.000821696,0.000877585,0.000948563,1.87E-06,3.606307904,0.039553261,NOM
0.075124792,4.95E-05,3.83E-05,3.60E-05,1.64E-07,2.856792178,0.033725756,OLF
0.5,24.85421989,32.98916915,8.259281917,427.7383137,50.19240657,137.5957211,PTPF
0.007525,26.2507328,135.421418,4.637984218,0.000425597,17193.43282,714.6533728,PTGF
0.075124792,0.863560301,2.825175809,6.941620051,0.003600336,86.71481009,19.31779141,PTGF
0.35,24.0833479,24.08334482,24.08335002,474.9774795,48.536584,134.372416,OLF
-1.26E-15,0.948864244,2.765198598,-0.95246883,1.045170865,-0.046853736,-0.026021979,OLF
0.2,19.44489285,27.67828628,9.968386543,362.3966631,-379.1555907,-79.52690762,PTGF
0.086746758,5.12E-05,5.27E-05,5.89E-05,1.78E-07,3.309829069,0.033950493,OLF
0.35,11.90221287,11.90407535,11.90271772,649.5022962,32.18676638,150.9778758,OVF
0.5,41.75990217,43.0506461,70.11885892,362.8246601,511.9945177,84.02776884,PTGF
0.35,31.78671933,7.749166891,24.03811009,427.7636028,23.68521806,136.6658132,PTPF
-1.26E-15,-4.680497917,1.406971272,2.800902347,1.704411079,0.917815655,-0.369104216,PTGF
